id,min,eng
25500,Nikmati cicilan 0% sampai 12 bulan untuak pamasanan tiket pisawat air asia jo kartu kredit bni!,Enjoy 0% instalment for up to 12 months when ordering an Air Asia plane ticket with BNI Credit Card!
25501,"Kue-kue nan disajian mambuek awak takana masa lalu. Sadolahnyo mode kue jaman dulu, antah itu dari penampilan maupun raso. Kuenyo lamak dan haragonyo murah lo.",The cakes give me massive nostalgia. Everything is old school. from the presentation to the taste. They're great and inexpensive
25502,Ibu pernah bakarajo di grab indonesia,Mom once worked for grab indonesia.
25503,"Paliang suko bana makan siang di siko ayam jo ladonyo lamak bana harago lua biaso himat, raso ayamnyo maresap sampai katulangnyo, es lidah buayonyo juo segar buek sajuak paruik siap makan lado yang padeh, palayannyo sigap dan ramah, yang wak suko di tampek kasir ado tulisan 10% disumbangan untuak baamal, buek makan jadi labiah lamak ka paruik","I love having lunch here the most, thanks to their delicious chicken and sambal, also the price is dirt cheap. The taste of the chicken just seeps to the bone, and the iced aloe vera drink is also fresh, perfect to cool off my stomach after eating the spicy sambal. The servers are swift and kind, and what I like is that in the cashier there's a writing that says 10% of the profit will be donated to charity, making the meal feel even better to my stomach."
25504,Palayanan bus DAMRI sangaik elok,The DAMRI Bus service is really good
25505,Nio buek postingan yang isionyo maedukasi customers gojek.,Wanna make some posts with contents that educate Gojek customers.
25506,Ratuihan rumah di medan tarandam banjir,Hundreds of houses in Medan were submerged by the flood
25507,"Barangnyo lumayan, cuma yang den heran xiomi redmi note 2 ko tombol onnyo memang agak rusak? Tu baterai memang capek low bat juragan?","The item's pretty good, but I'm confused. Is the ON button on the Xiaomi Redmi Note 2 kinda broken? And does the battery really drain this fast, boss? "
25508,Payah bana mampacayoi urang nan alah pernah bakianat,Really hard to trust people who had betrayed us before
25509,"Lokasi di gombel jo pamandangan semarang, tibolah malam dek lampu kota akan tacaliak, makanan lamak steak jo teh hangek menu wajib di siko, ambiak spot di lua dek udaro dingin dan sajuak","Located in Gombel with Semarang scenery, come at night because you can see the city lights. The great steak and warm tea are a must-try here. Take the outdoor spot because the air is cool and breezy."
