id,min,eng
0,Nikmati cicilan 0% sampai 12 bulan untuak pamasanan tiket pisawat air asia jo kartu kredit bni!,Enjoy 0% instalment for up to 12 months when ordering an Air Asia plane ticket with BNI Credit Card!
1,"Kue-kue nan disajian mambuek awak takana masa lalu. Sadolahnyo mode kue jaman dulu, antah itu dari penampilan maupun raso. Kuenyo lamak dan haragonyo murah lo.",The cakes give me massive nostalgia. Everything is old school. from the presentation to the taste. They're great and inexpensive
2,Ibu pernah bakarajo di grab indonesia,Mom once worked for grab indonesia.
3,"Paliang suko bana makan siang di siko ayam jo ladonyo lamak bana harago lua biaso himat, raso ayamnyo maresap sampai katulangnyo, es lidah buayonyo juo segar buek sajuak paruik siap makan lado yang padeh, palayannyo sigap dan ramah, yang wak suko di tampek kasir ado tulisan 10% disumbangan untuak baamal, buek makan jadi labiah lamak ka paruik","I love having lunch here the most, thanks to their delicious chicken and sambal, also the price is dirt cheap. The taste of the chicken just seeps to the bone, and the iced aloe vera drink is also fresh, perfect to cool off my stomach after eating the spicy sambal. The servers are swift and kind, and what I like is that in the cashier there's a writing that says 10% of the profit will be donated to charity, making the meal feel even better to my stomach."
4,Palayanan bus DAMRI sangaik elok,The DAMRI Bus service is really good
5,Nio buek postingan yang isionyo maedukasi customers gojek.,Wanna make some posts with contents that educate Gojek customers.
6,Ratuihan rumah di medan tarandam banjir,Hundreds of houses in Medan were submerged by the flood
7,"Barangnyo lumayan, cuma yang den heran xiomi redmi note 2 ko tombol onnyo memang agak rusak? Tu baterai memang capek low bat juragan?","The item's pretty good, but I'm confused. Is the ON button on the Xiaomi Redmi Note 2 kinda broken? And does the battery really drain this fast, boss? "
8,Payah bana mampacayoi urang nan alah pernah bakianat,Really hard to trust people who had betrayed us before
9,"Lokasi di gombel jo pamandangan semarang, tibolah malam dek lampu kota akan tacaliak, makanan lamak steak jo teh hangek menu wajib di siko, ambiak spot di lua dek udaro dingin dan sajuak","Located in Gombel with Semarang scenery, come at night because you can see the city lights. The great steak and warm tea are a must-try here. Take the outdoor spot because the air is cool and breezy."
10,"Wakatu tu ka siko pasan nasi goreng jo kantang koreng, nasi gorengnyo sadolah suko. Kantang gorengnyo lamak bana, dan presentasinyo rancak. Kecek keluarga kopinyo lamak. Hal nan sangat rancak disiko adalah tampeknyo lueh dan yang di lua bisa caliak pemandangan dusun bambu, tapi pelayanannyo indak capek sehinggo wak harus batanyo beberapa kali tentang pasanan wak. Haragonyo cukuik maha, tapi karano makanannyo lamak sadolahnyo jadi tabayialah. Indak paralu pikia duo kali kok nio ka tampek ko liak.","One time we went here and ordered the fried rice and french fries. Everyone loved the fried rice. The fries were also really good, not to mention its beautiful presentation. My family said the coffee was great. The great things about this place were how spacious it was and how it is possible to enjoy Dusun Bambu's scenery outside. However, the service was so slow that I needed to ask multiple times about my order. It was also a bit pricey, but the food was so delicious it made it all worth it in the end. You won't have to think twice to try this place out."
11,"Nasi goreng thailand di hargo 35 ribu, polos, hanyo ado suir ayam saketek. Seafoodnyo indak ado.","The 35-thousand Thailand-style fried rice is bland, with only shredded chicken sparsely sprinkled in. And there's no seafood."
12,"Saroman yang wak tau, brownies nan asli dari amerika tu kue bantat yang memang bawarna cokelat. Toko amanda mengkreasian brownies jo mamasaknyo sacaro mangukuih. Brownies kukuih ko samo sakali ndak masuak. Teksturnyo malah samo jo bolu biaso. Jadi manuruik wak, iko ndak brownies.","As we know, the original American brownies are baked cake that indeed has a brown color. Toko Amanda tried to be creative and made brownies by steaming them. And I have to say, these steamed brownies didn't do it for me. The texture was just the same as a regular sponge cake. So to me, these aren't brownies."
13,"Jikok tibo ka restoran ko sangaik cocok pas sore dan malam ari, mambaok pasangan untuak manikmati makan malam nan romantis dan pamandangan nan sangaik manakjubkan","If you want to visit this restaurant, be sure to go on afternoon or night time, bring your spouse to enjoy romantic dinner and amazing scenery."
14,"Pangalaman patamo cukuik mangesanan dek cukuik takajuik ruponyo siap salasai mamasan makanan, salah ciek staf maagiah daun pisang ka meja awak bukan piriang atau sendok, jadi jiko makan di siko basiaplah untuak makan pakai tangan dek awak ka marasoan sensasi nan unik ditambah aleh makanannyo daun pisang.","The first impression was memorable because after ordering I was surprised to see one of the staff bringing out banana leaves to our tables instead of plates or spoons. So if you wanna eat here, get ready to experience the unique sensation of eating food on top of banana leaves using your bare hands "
15,Salah satu area kuliner yang cukuik manggugah salero. Namun jadi binguang juo miliahnyo. Akhianyo wak cubo karak talua dan mie kocok sambia mandangaan patunjukkan musik jo lagu-lagu nostalgia barat. Cukuik direkomendasian.,"One of the most delicious culinary areas around. However, that just makes it hard to choose what to eat. In the end, I got myself a kerak telor and mie kocok while waiting for the music show with nostalgic western songs. Pretty recommended"
16,Untuak mamastian ibu bisa tibo ka kantua cab bank mandiri tu pas hari dan jam karajo untuak panukaran pitih.,"To clarify, you may come to the corresponding branch office of Mandiri Bank during working hours in workdays to make a cash exchange."
17,"Naiak kareta jayabaya malang - jakarta baranti di gubeng, tiker 35 ribu plus asuransi 6 ribu via traveloka","Rode on the Jayabaya train from Malang to Jakarta, stopped in Gubeng, the ticket costed 35 thousand plus 6k insurance via Traveloka."
18,Dpr maagiah apresiasi dek ikuiksarato padusi pado pilkada 2018.,DPR shows appreciation towards women's participation in the 2018 Regional Elections
19,"Awak tibo untuak makan malam jo kaluarga. Iko patamo kali awak tibo ka siko. Kondisi indak talampau rami. Untuak interior, agak kumuah manuruik wak. Adonyo rimah-rimah bakeh makanan di lantai dan meja, bantuaknyo indak dibarasiahan sacaro sampurna. Untuak raso makanan, standar, indak terlalu istimewa.","I came to have dinner with my fam. It was our first time coming here. It wasn't too crowded. For the interior. it was rather filthy in my opinion. There were leftover morsles on the floor and table, seemed like it wasn't cleaned properly. For the food flavour, it was standard. Nothing to write home about."
20,"Tolong kecekan ka anggota dewan jan lupo revisi perppu ormans dan ingekan janjinyo kalau perppu indak direvisi, babagai elemen masyarakat akan mangaluaan sikap.","Please remind the council not to forget revising the Perppu for Mass Organisations and if they don't revise it, then several factions from the public will not take this lying down."
21,Karipiak singkong itu makanan ringan paliang lamak dan pas untuak mangawanan waktu tugas,Cassava chips are the most delicious and appropriate snack to accompany me during assignment time.
22,"Batagor jo siomay kingsley ko ndak punyo cabang di tampek lain. Makanannyo lamak, tarutamo batagor dan siomay sarato basonyo dan ndak pakai pengawet. Dan seandainyo untuak oleh-oleh ado paket yang bisa dibaok pulang. Dipertahanan lo kualitasnyo.","Batagor and Siomay Kingsley doesn't have any branches outside this one. The food's great, especially the batagor and siomay as well as the baso, also none of them contain any preservatives. And if you're looking for a gift, there's a package you can take home. Keep the good quality going.  "
23,"Jan pernah pasan malalui layanan ko yo kawan-kawan. Mangacewaan! Villa-nyo kumuah, sadoalah paralatannyo ndak layak pakai","Never order from this service, my friends. Utterly disappointing! The villa was dirty, and all the appliances were unusable"
24,"Pendaftaran mulai bisuak, kementerian kominfo buka beasiswa palatiahan digital untuak 1.000 urang","Registrations starts tomorrow, Ministry of Communication and Informatics offers Digital Training Scholarships for 1000 people. "
25,"Sabagai netijen nan baru april patang piknik ka toba, cuma nio ngecek bahwa bana banyak hal nan mangecewaan dari sistem pariwisata di sinan. Parapat -nyo kumuah, payah cari akomodasi nan bana-bana ancak, agen transportasi ndak profesional, pokoknyo ndak direkomendasian pai ka parapat.","As a netizen who went on a picnic to Toba just last April, I just wanna say that there are indeed a lot of disappointments coming from the tourism system there. Parapat was dirty, it was hard to find actually good accomodations, the transport agents were unprofessional, just don't bother, Parapat is not recommended at all."
26,Kumuah bana dan indak di hirauan dek pelayan restoran. Mangcewaan bana palayanannyo!,The place was so dirty and I was ignored by the servers. The service was so disappointing
27,"Tampeknyo manuruik awak biaso se, kurang barasiah. Makanannyo pun biaso se.","The place is mediocre for me. Not that clean, the food is also nothing special."
28,"Untuak usaho nan dikaluaan ka tampek ko hasilnyo biaso-biaso se. Nan mangacewaan adalah kualiteh makanannyo. Makanan hanyo sakadar masak se. Untuak kuliner bandung nan lamak-lamak, iko mangacewaan. Ado karcis masuak per urang 10.000 dan oto 15.000.","For the effort it took to get to this place, the payoff was so-so. The disappointing part was the food quality. It was the barest minimum effort for making a meal. For the high standard of Bandung culinary, this was a letdown. Not to mention there was an entry ticket, 10.000 per person and 15.000 for cars"
